Ohio Valley Climate Region, Average Temperature, October
189510,48.9,-6.7
189610,52.0,-3.6
189710,60.1,4.5
189810,53.7,-1.9
189910,59.2,3.6
190010,61.2,5.6
190110,56.1,0.5
190210,57.0,1.4
190310,55.1,-0.5
190410,54.7,-0.9
190510,54.2,-1.4
190610,54.1,-1.5
190710,52.5,-3.1
190810,54.5,-1.1
190910,52.2,-3.4
191010,57.8,2.2
191110,55.7,0.1
191210,56.4,0.8
191310,54.0,-1.6
191410,57.6,2.0
191510,57.2,1.6
191610,55.2,-0.4
191710,48.0,-7.6
191810,58.5,2.9
191910,60.2,4.6
192010,59.0,3.4
192110,54.8,-0.8
192210,57.3,1.7
192310,52.3,-3.3
192410,58.4,2.8
192510,48.3,-7.3
192610,55.6,0.0
192710,58.4,2.8
192810,58.3,2.7
192910,53.8,-1.8
193010,52.8,-2.8
193110,59.1,3.5
193210,54.5,-1.1
193310,54.2,-1.4
193410,57.2,1.6
193510,55.6,0.0
193610,55.4,-0.2
193710,53.0,-2.6
193810,58.6,3.0
193910,58.0,2.4
194010,58.2,2.6
194110,60.0,4.4
194210,56.0,0.4
194310,53.7,-1.9
194410,55.4,-0.2
194510,53.8,-1.8
194610,58.2,2.6
194710,62.3,6.7
194810,52.6,-3.0
194910,58.9,3.3
195010,59.7,4.1
195110,57.0,1.4
195210,50.2,-5.4
195310,58.3,2.7
195410,56.5,0.9
195510,55.4,-0.2
195610,59.9,4.3
195710,51.9,-3.7
195810,55.3,-0.3
195910,55.2,-0.4
196010,56.3,0.7
196110,56.2,0.6
196210,57.7,2.1
196310,62.2,6.6
196410,52.3,-3.3
196510,54.0,-1.6
196610,52.2,-3.4
196710,54.5,-1.1
196810,55.3,-0.3
196910,54.4,-1.2
197010,56.0,0.4
197110,61.7,6.1
197210,52.6,-3.0
197310,59.4,3.8
197410,53.8,-1.8
197510,56.8,1.2
197610,49.4,-6.2
197710,52.9,-2.7
197810,53.0,-2.6
197910,55.0,-0.6
198010,52.4,-3.2
198110,53.4,-2.2
198210,55.9,0.3
198310,56.6,1.0
198410,59.7,4.1
198510,58.1,2.5
198610,56.4,0.8
198710,49.8,-5.8
198810,49.3,-6.3
198910,56.0,0.4
199010,54.5,-1.1
199110,56.9,1.3
199210,53.9,-1.7
199310,53.0,-2.6
199410,56.3,0.7
199510,56.4,0.8
199610,55.6,0.0
199710,55.3,-0.3
199810,57.4,1.8
199910,55.4,-0.2
200010,58.5,2.9
200110,54.8,-0.8
200210,54.4,-1.2
200310,55.1,-0.5
200410,57.3,1.7
200510,56.4,0.8
200610,52.8,-2.8
200710,60.7,5.1
200810,54.8,-0.8
200910,51.7,-3.9
201010,57.0,1.4
201110,55.2,-0.4
201210,53.8,-1.8
201310,55.9,0.3
201410,56.1,0.5
201510,56.7,1.1
201610,60.8,5.2
201710,58.7,3.1
201810,56.4,0.8
201910,56.6,1.0
202010,54.8,-0.8
202110,61.0,5.4
