Ohio Valley Climate Region, Average Temperature, August
189508,74.5,0.7
189608,74.6,0.8
189708,72.4,-1.4
189808,74.4,0.6
189908,76.2,2.4
190008,78.4,4.6
190108,74.8,1.0
190208,72.5,-1.3
190308,73.0,-0.8
190408,71.7,-2.1
190508,74.0,0.2
190608,75.6,1.8
190708,73.0,-0.8
190808,73.6,-0.2
190908,75.6,1.8
191008,72.6,-1.2
191108,73.9,0.1
191208,72.4,-1.4
191308,77.2,3.4
191408,74.8,1.0
191508,68.9,-4.9
191608,76.0,2.2
191708,71.9,-1.9
191808,78.2,4.4
191908,73.0,-0.8
192008,71.6,-2.2
192108,73.4,-0.4
192208,73.4,-0.4
192308,73.6,-0.2
192408,74.2,0.4
192508,73.9,0.1
192608,75.3,1.5
192708,68.6,-5.2
192808,75.0,1.2
192908,71.9,-1.9
193008,74.8,1.0
193108,73.3,-0.5
193208,74.6,0.8
193308,73.1,-0.7
193408,75.4,1.6
193508,75.3,1.5
193608,79.4,5.6
193708,76.9,3.1
193808,76.8,3.0
193908,73.4,-0.4
194008,74.1,0.3
194108,75.2,1.4
194208,72.8,-1.0
194308,76.0,2.2
194408,74.4,0.6
194508,73.6,-0.2
194608,70.1,-3.7
194708,79.4,5.6
194808,73.4,-0.4
194908,73.6,-0.2
195008,70.0,-3.8
195108,73.4,-0.4
195208,73.7,-0.1
195308,74.6,0.8
195408,75.5,1.7
195508,76.4,2.6
195608,74.3,0.5
195708,73.6,-0.2
195808,73.2,-0.6
195908,76.7,2.9
196008,74.9,1.1
196108,72.8,-1.0
196208,73.8,0.0
196308,72.0,-1.8
196408,72.4,-1.4
196508,72.4,-1.4
196608,71.5,-2.3
196708,69.4,-4.4
196808,74.5,0.7
196908,73.0,-0.8
197008,74.1,0.3
197108,71.7,-2.1
197208,73.1,-0.7
197308,74.1,0.3
197408,72.4,-1.4
197508,75.4,1.6
197608,71.0,-2.8
197708,73.5,-0.3
197808,73.8,0.0
197908,72.9,-0.9
198008,77.6,3.8
198108,72.3,-1.5
198208,71.5,-2.3
198308,78.5,4.7
198408,74.3,0.5
198508,71.8,-2.0
198608,71.0,-2.8
198708,75.2,1.4
198808,77.1,3.3
198908,72.9,-0.9
199008,73.0,-0.8
199108,74.5,0.7
199208,69.2,-4.6
199308,75.3,1.5
199408,71.5,-2.3
199508,78.4,4.6
199608,73.5,-0.3
199708,71.6,-2.2
199808,74.9,1.1
199908,73.4,-0.4
200008,74.7,0.9
200108,75.2,1.4
200208,75.8,2.0
200308,75.6,1.8
200408,69.9,-3.9
200508,76.4,2.6
200608,76.1,2.3
200708,79.0,5.2
200808,72.5,-1.3
200908,72.2,-1.6
201008,77.1,3.3
201108,75.2,1.4
201208,73.9,0.1
201308,72.8,-1.0
201408,73.9,0.1
201508,72.1,-1.7
201608,76.6,2.8
201708,71.5,-2.3
201808,75.1,1.3
201908,74.0,0.2
202008,73.7,-0.1
202108,76.0,2.2
